Two roads diverged in a yellow wood	And sorry I could not travel both
And sorry I could not travel both	And be one traveler long I stood
And be one traveler long I stood	And looked down one as far as I could
And looked down one as far as I could	To where it bent in the undergrowth
Then took the other as just as fair	And having perhaps the better claim
And having perhaps the better claim	Because it was grassy and wanted wear
Because it was grassy and wanted wear	Though as for that the passing there
Though as for that the passing there	Had worn them really about the same
And both that morning equally lay	In leaves no step had trodden black
In leaves no step had trodden black	Oh I kept the first for another day
Oh I kept the first for another day	Yet knowing how way leads on to way
Yet knowing how way leads on to way	I doubted if I should ever come back
I shall be telling this with a sigh	Somewhere ages and ages hence:
Somewhere ages and ages hence:	Two roads diverged in a wood and I
Two roads diverged in a wood and I	I took the one less traveled by
I took the one less traveled by	And that has made all the difference
Whose woods these are I think I know	His house is in the village though
His house is in the village though	He will not see me stopping here
He will not see me stopping here	To watch his woods fill up with snow
My little horse must think it queer	To stop without a farmhouse near
To stop without a farmhouse near	Between the woods and frozen lake
Between the woods and frozen lake	The darkest evening of the year
He gives his harness bells a shake	To ask if there is some mistake
To ask if there is some mistake	The only other sounds the sweep
The only other sounds the sweep	Of easy wind and downy flake
The woods are lovely dark and deep	But I have promises to keep
But I have promises to keep	And miles to go before I sleep
And miles to go before I sleep	And miles to go before I sleep
Some say the world will end in fire	Some say in ice
Some say in ice	From what Ive tasted of desire
From what Ive tasted of desire	I hold with those who favor fire
I hold with those who favor fire	But if it had to perish twice
But if it had to perish twice	I think I know enough of hate
I think I know enough of hate	To say that for destruction ice
To say that for destruction ice	Is also great
Is also great	And would suffice
Natures first green is gold	Her hardest hue to hold
Her hardest hue to hold	Her early leafs a flower
Her early leafs a flower	But only so an hour
But only so an hour	Then leaf subsides to leaf
Then leaf subsides to leaf	So Eden sank to grief
So Eden sank to grief	So dawn goes down to day
So dawn goes down to day	Nothing gold can stay
I have been one acquainted with the night	I have walked out in rain - and back in rain
I have walked out in rain - and back in rain	I have outwalked the furthest city light
I have looked down the saddest city lane	I have passed by the watchman on his beat
I have passed by the watchman on his beat	And dropped my eyes unwilling to explain
I have stood still and stopped the sound of feet	When far away an interrupted cry
When far away an interrupted cry	Came over houses from another street
